Title,Media URL,Pinterest board,Description,Link,Publish date,Keywords
Definition of matthew flinders,https://dl.dropboxusercontent.com/scl/fi/x1nup0gi0t7wpbiomrdss/image-100.jpg?rlkey=lnt6c9dxqgcolvbpr36yp7s7c&dl=1,definitions/English,British explorer who mapped the Australian coast (1774-1814),https://trueandfiction.com/definition/definition-of-matthew-flinders/,2024-12-28T12:55,"definition, meaning, english, vocabulary, matthew flinders"
Definition of religious music,https://dl.dropboxusercontent.com/scl/fi/e1eczdl6rb67a5mdxo23u/image-101.jpg?rlkey=s7e9bp0mkh409s8to1jsxs07q&dl=1,definitions/English,genre of music composed for performance as part of religious ceremonies,https://trueandfiction.com/definition/definition-of-religious-music/,2024-12-28T12:57,"definition, meaning, english, vocabulary, religious music"
Definition of bird of minerva,https://dl.dropboxusercontent.com/scl/fi/iw8ak7qfojaugc9oth0kp/image-102.jpg?rlkey=47np3undeee267hma9wrealyp&dl=1,definitions/English,nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,https://trueandfiction.com/definition/definition-of-bird-of-minerva/,2024-12-28T12:59,"definition, meaning, english, vocabulary, bird of minerva"
Definition of tim leary,https://dl.dropboxusercontent.com/scl/fi/47nz4afqic10qm4u28eao/image-103.jpg?rlkey=ysez8am6b8360wmxrjc3jj1mh&dl=1,definitions/English,United States psychologist who experimented with psychoactive drugs (including LSD) and became a well-known advocate of their use (1920-1996),https://trueandfiction.com/definition/definition-of-tim-leary/,2024-12-28T12:01,"definition, meaning, english, vocabulary, tim leary"
Definition of art,https://dl.dropboxusercontent.com/scl/fi/gjl9gkzmn2yvrnoth0zn6/image-104.jpg?rlkey=0ltvhq8gi518j2fw8b3hnbkm8&dl=1,definitions/English,photographs or other visual representations in a printed publication,https://trueandfiction.com/definition/definition-of-art/,2024-12-28T12:03,"definition, meaning, english, vocabulary, art"
Definition of sillago,https://dl.dropboxusercontent.com/scl/fi/mz2geqlx77ywcaw9dgkct/image-105.jpg?rlkey=lhproyc20ubm07za62ix0s869&dl=1,definitions/English,type genus of the Sillaginidae,https://trueandfiction.com/definition/definition-of-sillago/,2024-12-28T12:05,"definition, meaning, english, vocabulary, sillago"
Definition of top hat,https://dl.dropboxusercontent.com/scl/fi/5dplqcy2tnk66q4m7vzy0/image-106.jpg?rlkey=0hneet42nfd0lg36ovbbvpka3&dl=1,definitions/English,a man's hat with a tall crown; usually covered with silk or with beaver fur,https://trueandfiction.com/definition/definition-of-top-hat/,2024-12-28T12:07,"definition, meaning, english, vocabulary, top hat"
Definition of using,https://dl.dropboxusercontent.com/scl/fi/gjsthw38gd6yetc470rvc/image-107.jpg?rlkey=duhump7kitpe0w9o2s0xui04x&dl=1,definitions/English,an act that exploits or victimizes someone (treats them unfairly),https://trueandfiction.com/definition/definition-of-using/,2024-12-28T12:10,"definition, meaning, english, vocabulary, using"
Definition of chrome green,https://dl.dropboxusercontent.com/scl/fi/jw75uxiblbok1z451lvmg/image-108.jpg?rlkey=tryp7g2728b2xbw4mvktjx75t&dl=1,definitions/English,a brilliant green color,https://trueandfiction.com/definition/definition-of-chrome-green/,2024-12-28T12:12,"definition, meaning, english, vocabulary, chrome green"
Definition of piaffe,https://dl.dropboxusercontent.com/scl/fi/z6pl5nkmjsczrc585622e/image-109.jpg?rlkey=vvn60f16xo20rn3qpmu5rkn5q&dl=1,definitions/English,a cadenced trot executed by the horse in one spot,https://trueandfiction.com/definition/definition-of-piaffe/,2024-12-28T12:14,"definition, meaning, english, vocabulary, piaffe"
